Cabin,Ticket,number,Survived
,A/5 21171,5,0
C85,PC 17599,3,1
,STON/O2. 3101282,6,1
C123,113803,3,1
,373450,A,0
,330877,2,0
E46,17463,2,0
,349909,5,0
,347742,1,1
,237736,A,1
G6,PP 9549,1,1
C103,113783,1,1
,A/5. 2151,3,0
,347082,3,0
,350406,5,0
,248706,3,1
,382652,3,0
,244373,2,1
,345763,5,0
,2649,4,1
,239865,1,0
D56,248698,4,1
,330923,A,1
A6,113788,4,1
,349909,5,0
,347077,3,1
,2631,6,0
C23 C25 C27,19950,4,0
,330959,2,1
,349216,6,0
,PC 17601,2,0
B78,PC 17569,A,1
,335677,6,1
,C.A. 24579,2,0
,PC 17604,2,0
,113789,2,0
,2677,4,1
,A./5. 2152,6,0
,345764,1,0
,2651,6,1
,7546,1,0
,11668,3,0
,349253,3,0
,SC/Paris 2123,A,1
,330958,A,1
,S.C./A.4. 23567,1,0
,370371,3,0
,14311,1,1
,2662,6,0
,349237,6,0
,3101295,1,0
,A/4. 39886,A,0
D33,PC 17572,3,1
,2926,4,1
B30,113509,3,0
C52,19947,6,1
,C.A. 31026,4,1
,2697,A,0
,C.A. 34651,5,1
,CA 2144,A,0
,2669,6,0
B28,113572,2,1
C83,36973,6,0
,347088,1,0
,PC 17605,1,0
,2661,2,1
F33,C.A. 29395,A,1
,S.P. 3464,A,0
,3101281,4,1
,315151,A,0
,C.A. 33111,1,0
,CA 2144,6,0
,S.O.C. 14879,3,0
,2680,1,0
,1601,6,1
F G73,348123,1,0
,349208,A,0
,374746,3,0
,248738,6,1
,364516,A,1
,345767,6,0
,345779,6,1
,330932,4,1
,113059,6,0
,SO/C 14885,6,1
,3101278,5,1
,W./C. 6608,1,0
,SOTON/OQ 392086,4,0
C23 C25 C27,19950,3,1
,343275,6,0
,343276,4,0
,347466,3,0
E31,W.E.P. 5734,6,0
,C.A. 2315,A,0
,364500,1,0
,374910,6,0
A5,PC 17754,A,0
D10 D12,PC 17759,3,1
,231919,6,1
,244367,2,0
,349245,5,0
,349215,3,0
D26,35281,4,0
,7540,4,0
,3101276,4,0
,349207,A,0
,343120,3,1
,312991,A,1
,349249,4,0
,371110,4,1
C110,110465,5,0
,2665,6,0
,324669,6,0
,4136,3,0
,2627,3,0
,STON/O 2. 3101294,1,0
,370369,A,0
,11668,4,0
B58 B60,PC 17558,3,0
,347082,1,0
,S.O.C. 14879,A,0
,A4. 54510,6,0
,237736,A,0
E101,27267,3,1
D26,35281,6,0
,2651,4,1
,370372,1,0
,C 17369,4,1
F E69,2668,6,1
,347061,A,0
,349241,5,0
,SOTON/O.Q. 3101307,2,0
,A/5. 3337,2,0
,228414,5,1
,C.A. 29178,A,0
,SC/PARIS 2133,1,0
D47,11752,5,1
C123,113803,6,0
,7534,5,0
B86,PC 17593,2,0
,2678,2,0
,347081,1,1
,STON/O2. 3101279,5,1
,365222,6,0
,231945,1,0
,C.A. 33112,A,0
,350043,3,1
,W./C. 6608,5,0
F2,230080,1,0
,244310,2,0
,S.O.P. 1166,6,0
C2,113776,A,1
,A.5. 11206,1,0
,A/5. 851,4,0
,Fa 265302,A,0
,PC 17597,1,0
,35851,1,1
,SOTON/OQ 392090,1,0
,315037,6,0
,CA. 2343,3,0
,371362,3,0
,C.A. 33595,A,1
,347068,A,0
,315093,6,0
,3101295,4,0
,363291,2,1
E33,113505,A,1
,347088,4,0
,PC 17318,3,0
,1601,A,0
B19,111240,6,0
,382652,1,0
,347742,1,1
,STON/O 2. 3101280,A,0
A7,17764,1,0
,350404,A,0
,4133,4,0
C49,PC 17595,6,0
,250653,6,0
,LINE,1,0
,CA. 2343,5,0
,SC/PARIS 2131,6,0
,347077,5,0
F4,230136,5,1
,315153,3,1
A32,113767,3,0
,370365,6,1
,111428,2,1
,364849,3,0
,349247,6,0
,234604,A,1
,28424,3,0
,350046,A,1
F2,230080,6,1
B4,PC 17610,6,1
B80,PC 17569,3,1
,368703,2,0
,4579,6,0
,370370,5,1
,248747,1,0
,345770,2,0
,CA. 2343,2,0
,3101264,2,0
,2628,A,0
,A/5 3540,6,1
G6,347054,A,0
,3101278,3,0
,2699,5,1
,367231,6,1
A31,112277,6,1
,SOTON/O.Q. 3101311,A,0
,F.C.C. 13528,3,1
,A/5 21174,A,0
,250646,1,0
,367229,2,0
D36,35273,A,1
,STON/O2. 3101283,4,1
,243847,A,0
D15,11813,A,1
,W/C 14208,4,0
,SOTON/OQ 392089,5,1
,220367,4,0
,21440,A,0
,349234,A,0
C93,19943,1,1
,PP 4348,6,0
,SW/PP 751,3,1
,A/5 21173,6,0
,236171,5,0
,4133,3,0
C83,36973,3,1
,347067,2,0
,237442,6,0
,347077,4,1
,C.A. 29566,6,0
,W./C. 6609,4,0
,26707,3,0
,C.A. 31921,1,1
,28665,A,0
,SCO/W 1585,A,0
,2665,1,0
,367230,1,1
,W./C. 14263,5,0
,STON/O 2. 3101275,A,0
,2694,1,0
C78,19928,5,0
,347071,A,0
,250649,2,1
D35,11751,4,1
,244252,5,0
,362316,4,0
G6,347054,6,0
C87,113514,1,0
,A/5. 3336,3,0
,370129,A,0
,2650,3,1
,PC 17585,6,1
B77,110152,4,1
,PC 17755,5,1
,230433,4,1
,384461,A,0
,347077,6,1
E67,110413,4,0
B94,112059,6,0
,382649,2,0
,C.A. 17248,3,0
,3101295,6,0
,347083,4,1
C125,PC 17582,3,1
C99,PC 17760,3,1
,113798,5,0
,LINE,3,1
,250644,1,1
C118,PC 17596,A,0
,370375,2,1
D7,13502,2,1
,347073,1,0
,239853,4,0
,382652,2,0
,C.A. 2673,2,1
,336439,4,0
,347464,A,0
,345778,2,0
,A/5. 10482,5,1
A19,113056,5,0
,349239,4,0
,345774,4,1
,349206,5,0
,237798,A,1
,370373,2,1
,19877,3,1
B49,11967,4,1
D,SC/Paris 2163,4,0
,349236,6,0
,349233,5,0
,PC 17612,A,0
,2693,4,0
C22 C26,113781,5,0
C106,19988,3,1
B58 B60,PC 17558,1,1
,9234,A,1
,367226,1,1
,LINE,2,0
E101,226593,5,1
,A/5 2466,3,0
C22 C26,113781,6,1
,17421,4,1
C65,PC 17758,2,1
,P/PP 3381,3,0
E36,PC 17485,3,1
C54,11767,2,1
B57 B59 B63 B66,PC 17608,1,1
,250651,5,0
,349243,2,0
,F.C.C. 13529,1,0
,347470,5,1
,244367,6,1
,29011,4,0
C7,36928,A,1
E34,16966,1,1
,A/5 21172,2,0
,349219,6,0
,234818,1,1
,248738,5,1
,CA. 2343,1,0
C32,PC 17760,6,1
,345364,4,0
D,28551,5,1
,363291,2,1
B18,111361,5,1
,367226,5,1
C124,113043,6,0
C91,PC 17582,1,0
,345764,1,0
,PC 17611,4,1
,349225,6,0
C2,113776,A,0
E40,16966,1,1
,7598,3,1
T,113784,4,0
F2,230080,A,1
C23 C25 C27,19950,5,1
,248740,A,0
,244361,2,0
,229236,2,0
F33,248733,A,1
,31418,6,1
,386525,2,1
,C.A. 37671,2,1
,315088,A,0
,7267,3,0
C128,113510,4,0
,2695,5,0
,349237,5,0
,2647,5,0
,345783,4,0
E33,113505,1,1
,237671,6,0
,330931,2,1
,330980,6,1
,347088,3,0
,SC/PARIS 2167,A,0
,2691,6,0
,SOTON/O.Q. 3101310,3,0
,370365,2,0
,C 7076,3,0
D37,110813,5,1
,2626,3,1
,14313,3,1
B35,PC 17477,2,1
E50,11765,5,1
,3101267,2,0
,323951,3,0
,PC 17760,A,0
,349909,1,0
,PC 17604,1,1
,C 7077,2,1
C82,113503,2,0
,2648,2,0
,347069,5,0
,PC 17757,5,1
,2653,3,1
,STON/O 2. 3101293,1,0
,113789,4,1
,349227,3,0
,S.O.C. 14879,4,0
,CA 2144,6,0
,27849,4,1
,367655,6,0
,SC 1748,5,1
B96 B98,113760,4,1
,350034,6,1
,3101277,1,0
D36,35273,1,1
G6,PP 9549,6,1
,350052,3,0
,350407,2,0
,28403,2,0
,244278,5,0
,240929,1,1
,STON/O 2. 3101289,3,1
,341826,2,0
,4137,3,0
,STON/O2. 3101279,3,0
,315096,A,0
,28664,2,0
,347064,4,0
,29106,A,1
,312992,A,0
,4133,5,0
,349222,A,0
,394140,1,0
C78,19928,2,1
,239853,5,0
,STON/O 2. 3101269,6,1
,343095,A,0
,28220,6,1
,250652,4,1
,28228,1,0
,345773,3,0
,349254,4,0
,A/5. 13032,3,0
,315082,2,0
,347080,2,0
,370129,4,0
,A/4. 34244,2,0
,2003,1,1
,250655,2,1
,364851,2,0
E10,SOTON/O.Q. 392078,6,1
C52,110564,A,1
,376564,4,1
,SC/AH 3085,4,1
,STON/O 2. 3101274,6,0
E44,13507,3,0
B96 B98,113760,1,1
,W./C. 6608,2,0
,29106,6,1
C23 C25 C27,19950,2,0
,C.A. 18723,1,0
,F.C.C. 13529,4,1
,345769,5,0
,347076,6,0
,230434,2,1
,65306,1,1
A34,33638,3,1
,250644,5,1
,113794,2,1
,2666,1,1
C104,113786,4,1
,C.A. 34651,A,0
,65303,4,0
C111,113051,2,0
C92,17453,5,1
,A/5 2817,6,0
,349240,5,1
E38,13509,6,0
D21,17464,1,1
,F.C.C. 13531,A,1
,371060,3,0
E12,19952,A,1
,364506,2,0
E63,111320,4,0
,234360,5,0
,A/S 2816,6,0
,SOTON/O.Q. 3101306,A,0
,239853,6,0
,113792,1,0
,36209,2,0
,2666,4,1
,323592,A,0
,315089,4,0
,C.A. 34651,6,1
D,SC/AH Basle 541,2,1
,7553,6,0
A14,110465,3,0
,31027,3,0
,3460,4,0
,350060,3,0
,3101298,5,1
,CA 2144,5,0
,239854,A,0
,A/5 3594,6,0
,4134,4,1
B49,11967,A,1
,4133,A,0
C93,19943,3,1
B37,11771,2,0
,A.5. 18509,2,0
,C.A. 37671,1,1
,65304,2,0
,SOTON/OQ 3101317,6,0
C30,113787,5,0
,PC 17609,1,0
,A/4 45380,2,0
,2627,4,0
D20,36947,A,1
,C.A. 6212,A,0
C22 C26,113781,A,0
,350035,1,0
,315086,4,0
,364846,5,0
,330909,6,0
,4135,2,0
B79,110152,6,1
C65,PC 17758,4,0
,26360,1,1
,111427,A,1
,C 4001,5,0
,1601,1,1
,382651,5,1
,SOTON/OQ 3101316,4,0
E25,PC 17473,2,1
,PC 17603,2,1
,349209,3,0
D46,36967,3,0
F33,C.A. 34260,1,1
,371110,4,0
,226875,3,1
,349242,1,0
B73,12749,2,1
,349252,5,0
,2624,2,0
B18,111361,A,1
,2700,6,0
,367232,3,0
,W./C. 14258,2,1
C95,PC 17483,2,0
,3101296,4,0
,29104,A,0
,26360,6,1
,2641,A,0
,2690,5,0
,2668,4,1
,315084,6,0
,F.C.C. 13529,1,1
B38,113050,5,0
,PC 17761,1,1
,364498,4,0
B39,13568,3,1
B22,WE/P 5735,2,1
,347082,4,0
,347082,1,0
,2908,A,1
C86,PC 17761,4,0
,693,6,0
,2908,6,1
,SC/PARIS 2146,5,1
,363291,2,0
,C.A. 33112,2,1
C70,17421,2,1
,244358,3,0
,330979,6,0
,2620,1,1
,347085,3,1
,113807,A,0
A16,11755,A,1
,PC 17757,2,0
E67,110413,1,1
,345572,5,1
,372622,5,0
,349251,4,0
,218629,5,0
,SOTON/OQ 392082,A,0
,SOTON/O.Q. 392087,6,0
,A/4 48871,3,0
,349205,A,0
,349909,6,0
,2686,4,0
,350417,6,1
,S.W./PP 752,6,1
C101,11769,6,1
E25,PC 17474,A,1
,14312,A,1
,A/4. 20589,4,0
,358585,1,0
,243880,3,1
E44,13507,5,1
,2689,5,0
,STON/O 2. 3101286,4,1
,237789,6,1
C68,17421,3,1
,28403,4,0
A10,13049,3,0
,3411,A,0
E68,110413,3,1
,237565,2,0
B41,13567,1,1
,14973,4,0
,A./5. 3235,1,0
,STON/O 2. 3101273,5,0
D20,36947,1,1
,A/5 3902,5,0
,364848,1,0
,SC/AH 29037,2,0
,345773,A,0
,248727,4,1
,LINE,6,0
,2664,2,0
A20,PC 17485,3,1
,243847,A,1
,349214,4,0
,113796,1,0
,364511,2,0
,111426,4,1
,349910,4,0
,349246,2,0
,113804,A,1
,SC/Paris 2123,3,1
C125,PC 17582,2,1
,347082,4,0
,SOTON/O.Q. 3101305,2,0
,367230,A,1
,370377,3,0
,364512,6,0
,220845,A,1
,347080,4,0
,A/5. 3336,1,0
F4,230136,4,1
,31028,1,0
,2659,A,0
D19,11753,2,1
,2653,6,1
,350029,A,0
,54636,A,0
D50,36963,3,0
,219533,1,0
D9,13502,5,1
,349224,2,0
,334912,5,0
A23,27042,6,1
,347743,4,0
B50,13214,5,1
,112052,6,0
,347088,6,0
,237668,A,1
,STON/O 2. 3101292,A,0
,C.A. 31921,4,0
,3101295,6,0
,376564,6,0
,350050,5,0
B35,PC 17477,2,1
,347088,A,0
,1601,A,1
,2666,3,1
D33,PC 17572,2,1
,349231,3,0
A26,13213,A,1
,S.O./P.P. 751,2,0
,CA. 2314,5,1
,349221,5,0
,231919,5,1
,8475,1,0
,330919,1,1
,365226,4,0
,S.O.C. 14879,5,0
,349223,2,0
,364849,1,0
,29751,1,0
D48,35273,6,0
,PC 17611,4,1
,2623,1,0
E58,5727,A,0
,349210,A,0
,STON/O 2. 3101285,4,1
,S.O.C. 14879,5,0
,234686,2,0
,312993,2,0
,A/5 3536,2,0
C126,19996,4,1
,29750,2,1
B71,F.C. 12750,5,0
,C.A. 24580,3,0
,244270,3,1
,239856,5,0
,349912,6,0
,342826,3,0
,4138,3,1
,CA 2144,2,0
B51 B53 B55,PC 17755,5,1
,330935,1,0
D49,PC 17572,1,1
,6563,4,0
,CA 2144,1,0
,29750,5,0
,SC/Paris 2123,5,0
,3101295,4,0
,349228,1,0
,350036,A,0
B5,24160,6,1
B20,17474,A,1
,349256,3,1
,1601,4,1
,2672,4,0
,113800,1,0
,248731,A,0
,363592,A,0
,35852,1,1
C68,17421,A,0
F G63,348121,A,0
C62 C64,PC 17757,4,1
E24,PC 17475,5,1
,2691,5,0
,36864,A,0
,350025,5,0
,250655,6,0
,223596,3,1
E24,PC 17476,5,1
,113781,4,1
,2661,3,1
C90,PC 17482,5,1
C124,113028,1,0
C126,19996,A,1
,7545,6,0
,250647,1,0
F G73,348124,6,0
C45,PC 17757,4,1
E101,34218,A,1
,36568,1,0
,347062,4,0
,248727,3,1
,350048,A,0
,12233,2,0
,250643,1,0
E8,113806,2,1
,315094,1,0
,31027,A,1
,36866,A,1
,236853,5,0
,STON/O2. 3101271,6,0
B5,24160,4,1
,2699,4,0
,239855,2,0
,28425,2,0
,233639,5,0
,54636,6,0
,W./C. 6608,3,0
B101,PC 17755,5,1
,349201,1,0
,349218,5,0
D45,16988,5,1
C46,19877,5,0
B57 B59 B63 B66,PC 17608,1,1
,376566,6,0
,STON/O 2. 3101288,5,1
B22,WE/P 5735,4,0
,C.A. 2673,1,0
,250648,5,1
D30,113773,5,0
,335097,1,0
,29103,4,1
E121,392096,5,1
,345780,3,0
,349204,1,0
,220845,A,1
,250649,5,1
,350042,2,0
,29108,5,0
,363294,A,0
B77,110152,A,1
,358585,A,0
,SOTON/O2 3101272,6,0
,2663,3,1
B96 B98,113760,2,1
,347074,4,0
D11,13502,1,1
,112379,2,0
,364850,A,0
,371110,2,0
,8471,4,0
,345781,5,0
,350047,A,0
E77,S.O./P.P. 3,4,0
,2674,6,0
,29105,2,1
,347078,4,0
F38,383121,1,0
,364516,3,1
,36865,4,0
B3,24160,A,1
,2687,4,1
B20,17474,1,1
D6,113501,1,0
,W./C. 6607,4,0
,SOTON/O.Q. 3101312,1,0
,374887,1,0
,3101265,5,1
,382652,2,0
,C.A. 2315,5,1
B82 B84,PC 17593,5,0
,12460,A,0
,239865,4,0
,CA. 2343,5,0
,PC 17600,2,0
,349203,5,0
,28213,6,0
D17,17465,4,1
,349244,3,1
,2685,5,0
,345773,3,0
,250647,6,0
,C.A. 31921,1,1
B96 B98,113760,6,1
,2625,4,1
,347089,2,1
,347063,1,0
A36,112050,1,0
,347087,A,0
,248723,6,0
E8,113806,5,1
,3474,5,0
,A/4 48871,A,0
,28206,1,0
,347082,A,0
,364499,5,0
B102,112058,4,0
,STON/O2. 3101290,3,0
,S.C./PARIS 2079,6,0
,C 7075,1,0
,347088,A,0
B69,12749,6,1
,315098,2,1
,19972,3,0
E121,392096,4,1
,3101295,2,0
,368323,2,0
,1601,6,0
,S.C./PARIS 2079,5,1
,367228,3,1
B28,113572,5,1
,2659,A,1
,29106,2,1
,2671,2,0
,347468,1,0
,2223,6,0
E49,PC 17756,6,1
,315097,1,0
,392092,3,0
,1601,1,1
C47,11774,1,1
