date,product_id,city_id,orders
2019-12-10,5628,25,3
2018-08-15,3646,14,157
2018-10-23,1859,25,1
2019-08-17,7292,25,1
2019-01-06,4344,25,3
2018-08-23,1811,25,4
2018-11-21,1282,26,1
2019-03-27,5022,2,41
2019-06-29,3699,3,15
2018-08-30,4373,11,3
2019-10-24,6339,26,1
2019-08-02,3311,22,6
2019-03-15,5665,5,1
2018-08-24,3020,13,4
2019-05-29,3833,26,240
2019-02-14,202,2,4
2019-04-10,977,22,1
2018-09-24,2701,14,16
2019-06-12,5630,14,31
2019-04-13,7163,2,20
2019-11-30,1323,22,1
2018-08-19,1191,13,50
2019-09-13,4635,22,6
2018-08-12,825,26,7
2019-07-24,2303,14,113
2018-09-14,4487,14,1
2019-01-09,6825,16,4
2019-01-24,4152,28,2
2019-04-20,5501,16,1
2019-02-20,172,0,7
2019-07-24,2820,16,4
2018-10-01,7386,3,1
2018-10-23,2845,23,1
2019-07-11,3121,17,1
2019-04-09,4185,18,12
2019-01-20,2963,22,2
2018-07-13,3432,13,28
2018-08-18,4436,17,2
2019-02-15,7025,14,33
2019-05-12,2376,16,1
2019-11-27,6900,14,14
2019-04-07,2898,18,45
2018-11-02,1439,25,1
2018-09-04,2490,7,1
2018-08-03,803,23,9
2019-07-01,1533,18,57
2018-09-23,2815,13,1
2018-12-11,3437,14,2
2019-12-11,2860,28,41
2019-07-24,7038,13,8
2019-06-07,6137,3,3
2019-08-12,6344,26,1
2018-10-02,2844,16,1
2019-12-04,5193,16,2
2018-09-26,3196,29,1
2019-07-26,4976,9,1
2018-11-12,3667,13,20
2019-08-04,2837,18,370
2019-01-06,4618,26,1
2019-10-25,4756,2,13
2018-08-05,3760,28,1
2018-07-20,7025,14,22
2019-01-13,5033,25,1
2018-08-29,2841,16,3
2019-06-01,3541,2,5
2019-03-27,666,23,4
2019-01-26,1222,14,48
2018-11-18,3604,16,5
2018-10-18,588,16,1
2018-12-28,2652,18,84
2019-10-29,6443,16,1
2019-03-30,2918,26,3
2018-08-27,7582,17,30
2019-07-28,3913,13,19
2019-11-13,2199,14,2
2019-10-12,289,24,1
2019-04-18,5973,16,1
2018-11-02,5905,30,1
2019-05-28,3044,7,7
2019-05-17,420,26,1
2018-12-05,1754,23,2
2019-03-22,3143,25,1
2019-10-26,1985,14,13
2018-08-11,6300,22,5
2018-07-30,7350,16,76
2019-11-13,5288,18,7
2019-06-27,3904,1,29
2019-07-12,7042,3,5
2019-10-11,925,25,10
2019-07-09,7214,22,4
2019-12-16,7491,13,1
2018-09-18,923,13,1
2019-05-30,5788,7,34
2019-11-12,7354,25,16
2019-04-10,300,14,462
2019-04-02,5383,11,24
2018-08-23,925,25,4
2018-09-27,4690,23,1
2019-07-03,4794,14,3
2019-04-13,6206,2,24
2018-11-22,6343,22,191
2019-12-01,895,14,47
2018-08-30,3328,29,1
2019-06-24,77,25,5
2018-09-12,6134,6,1
2019-06-21,2465,29,2
2019-01-20,6592,25,11
2018-12-29,1225,13,60
2019-10-24,7538,0,1
2018-08-08,351,20,1
2019-08-13,7059,14,11
2019-10-17,3597,26,2
2019-03-21,5787,13,134
2018-12-15,6288,2,2
