Age,Fare,Family,Survived
22.0,7.25,1,0
38.0,71.2833,1,1
26.0,7.925,0,1
35.0,53.1,1,1
35.0,8.05,0,0
,8.4583,0,0
54.0,51.8625,0,0
2.0,21.075,4,0
27.0,11.1333,2,1
14.0,30.0708,1,1
4.0,16.7,2,1
58.0,26.55,0,1
20.0,8.05,0,0
39.0,31.275,6,0
14.0,7.8542,0,0
55.0,16.0,0,1
2.0,29.125,5,0
,13.0,0,1
31.0,18.0,1,0
,7.225,0,1
35.0,26.0,0,0
34.0,13.0,0,1
15.0,8.0292,0,1
28.0,35.5,0,1
8.0,21.075,4,0
38.0,31.3875,6,1
,7.225,0,0
19.0,263.0,5,0
,7.8792,0,1
,7.8958,0,0
40.0,27.7208,0,0
,146.5208,1,1
,7.75,0,1
66.0,10.5,0,0
28.0,82.1708,1,0
42.0,52.0,1,0
,7.2292,0,1
21.0,8.05,0,0
18.0,18.0,2,0
14.0,11.2417,1,1
40.0,,1,0
27.0,21.0,1,0
,7.8958,0,0
3.0,41.5792,3,1
19.0,7.8792,0,1
,8.05,0,0
,15.5,1,0
,7.75,0,1
,21.6792,2,0
18.0,17.8,1,0
7.0,39.6875,5,0
21.0,7.8,0,0
49.0,76.7292,1,1
29.0,26.0,1,1
65.0,61.9792,1,0
,35.5,0,1
21.0,10.5,0,1
28.5,7.2292,0,0
5.0,27.75,3,1
11.0,46.9,7,0
22.0,7.2292,0,0
38.0,80.0,0,1
45.0,83.475,1,0
4.0,27.9,5,0
,27.7208,0,0
,15.2458,2,1
29.0,10.5,0,1
19.0,8.1583,0,0
17.0,7.925,6,1
26.0,8.6625,2,0
32.0,10.5,0,0
16.0,46.9,7,0
21.0,73.5,0,0
26.0,14.4542,1,0
32.0,56.4958,0,1
25.0,7.65,0,0
,7.8958,0,0
,8.05,0,0
0.83,29.0,2,1
30.0,12.475,0,1
22.0,9.0,0,0
29.0,9.5,0,1
,,0,1
28.0,47.1,0,0
17.0,10.5,0,1
33.0,15.85,3,1
16.0,34.375,4,0
,8.05,0,0
23.0,263.0,5,1
24.0,8.05,0,0
29.0,8.05,0,0
20.0,7.8542,0,0
46.0,61.175,1,0
26.0,20.575,3,0
59.0,7.25,0,0
,8.05,0,0
71.0,34.6542,0,0
23.0,63.3583,1,1
34.0,,1,1
34.0,26.0,1,0
28.0,7.8958,0,0
,7.8958,0,0
21.0,77.2875,1,0
33.0,8.6542,0,0
37.0,7.925,2,0
28.0,7.8958,0,0
21.0,7.65,0,1
,7.775,0,1
38.0,7.8958,0,0
,24.15,1,1
47.0,52.0,0,0
14.5,14.4542,1,0
22.0,8.05,0,0
