cgpa,placement_exam_marks,placed
7.19,26.0,1
7.46,38.0,1
7.54,40.0,1
6.42,8.0,1
7.23,17.0,0
7.3,23.0,1
6.69,11.0,0
7.12,39.0,1
6.45,38.0,0
7.75,94.0,1
6.82,16.0,1
6.38,7.0,1
6.58,16.0,1
5.68,26.0,0
7.91,43.0,0
7.1,21.0,0
6.53,19.0,0
7.56,22.0,1
6.93,27.0,0
7.63,29.0,0
6.69,47.0,0
7.43,33.0,1
6.76,54.0,1
6.05,11.0,0
6.44,11.0,0
6.28,58.0,1
7.45,8.0,1
6.53,46.0,0
7.23,19.0,0
6.51,15.0,1
7.46,16.0,0
7.66,44.0,0
5.91,11.0,1
6.23,27.0,0
8.15,9.0,0
7.48,12.0,0
6.85,16.0,1
8.51,9.0,1
6.58,20.0,1
7.25,17.0,0
6.6,86.0,1
6.7,38.0,0
7.46,71.0,1
7.85,63.0,0
7.88,55.0,0
6.92,10.0,1
7.3,15.0,0
6.92,46.0,0
6.29,42.0,0
8.23,28.0,1
6.2,18.0,1
6.24,28.0,1
7.53,27.0,1
6.69,33.0,1
8.42,36.0,1
8.12,15.0,0
6.93,15.0,1
7.73,24.0,0
7.34,43.0,0
7.7,32.0,1
7.94,31.0,1
7.51,86.0,0
7.61,22.0,0
6.22,26.0,0
6.98,52.0,1
6.27,28.0,1
6.67,31.0,1
8.04,18.0,1
6.58,30.0,0
7.41,44.0,0
6.98,17.0,1
6.13,20.0,1
7.9,19.0,0
6.39,12.0,1
6.16,3.0,1
6.77,56.0,1
8.35,12.0,0
7.1,28.0,1
8.2,12.0,0
7.63,19.0,1
6.87,46.0,1
7.12,44.0,1
7.22,12.0,0
7.38,20.0,1
5.65,35.0,1
6.03,28.0,0
7.19,22.0,1
6.96,19.0,1
6.78,39.0,0
6.56,17.0,0
7.61,15.0,1
7.42,6.0,1
6.48,63.0,0
7.0,30.0,0
7.15,21.0,1
6.89,35.0,1
7.09,28.0,1
7.33,52.0,1
8.12,76.0,0
7.46,23.0,0
6.56,46.0,0
6.48,26.0,1
5.92,22.0,1
6.44,18.0,1
6.82,47.0,1
6.72,12.0,1
6.59,22.0,0
7.32,9.0,0
5.94,10.0,0
7.23,21.0,1
6.96,31.0,0
6.48,33.0,0
7.23,15.0,0
7.24,10.0,0
6.3,77.0,1
7.28,37.0,0
7.16,21.0,0
7.11,0.0,1
6.9,54.0,0
7.0,39.0,0
6.99,46.0,1
5.91,27.0,0
5.97,51.0,0
6.25,52.0,0
6.2,30.0,0
7.46,55.0,1
7.16,37.0,0
6.95,23.0,1
6.76,25.0,0
6.81,39.0,1
5.91,53.0,0
8.19,19.0,1
7.71,18.0,0
7.65,64.0,1
6.33,93.0,0
6.63,47.0,0
7.28,15.0,0
5.69,53.0,0
7.53,8.0,1
8.09,5.0,1
6.85,22.0,1
7.19,18.0,0
7.66,41.0,1
6.32,33.0,1
6.67,17.0,0
7.08,28.0,0
6.75,22.0,1
6.68,11.0,0
6.86,49.0,1
6.81,58.0,0
8.53,22.0,0
7.29,16.0,1
7.78,56.0,0
6.29,10.0,1
7.57,54.0,1
7.84,12.0,0
6.4,34.0,0
7.07,81.0,1
5.74,50.0,0
6.7,22.0,0
7.36,10.0,1
6.26,52.0,1
7.8,90.0,0
6.77,42.0,1
6.29,34.0,1
7.53,7.0,0
7.76,59.0,0
6.65,48.0,1
6.51,37.0,1
6.19,16.0,1
6.17,37.0,0
6.2,38.0,1
7.24,43.0,1
6.71,48.0,0
7.31,21.0,1
7.57,26.0,1
7.72,30.0,1
6.22,40.0,1
7.51,39.0,0
6.4,45.0,1
7.18,29.0,0
7.3,42.0,0
6.87,76.0,0
6.11,18.0,1
7.78,33.0,0
7.3,31.0,0
6.97,63.0,1
6.63,10.0,1
5.92,55.0,1
6.63,9.0,0
7.54,23.0,0
6.63,8.0,0
6.67,38.0,0
6.31,14.0,0
8.19,33.0,0
6.71,44.0,0
7.28,34.0,1
6.75,27.0,0
8.29,44.0,1
7.43,25.0,1
5.77,22.0,0
6.67,15.0,0
6.51,48.0,1
7.93,52.0,0
7.01,5.0,1
6.99,47.0,1
7.5,25.0,0
7.05,16.0,0
7.25,12.0,1
6.88,35.0,0
6.58,19.0,1
7.36,14.0,0
6.23,57.0,0
6.62,19.0,1
7.42,60.0,1
7.72,22.0,0
5.42,36.0,1
6.92,16.0,0
6.62,52.0,0
5.48,3.0,0
7.75,16.0,1
6.78,24.0,1
6.97,78.0,0
6.15,11.0,1
7.15,19.0,0
7.36,13.0,1
6.79,21.0,1
7.03,19.0,0
7.61,15.0,0
6.68,13.0,0
7.12,14.0,1
6.4,35.0,0
7.77,34.0,0
7.25,41.0,0
8.09,36.0,0
7.2,52.0,1
7.7,36.0,1
7.14,52.0,1
7.41,78.0,0
6.71,16.0,1
7.25,38.0,0
7.22,18.0,0
5.99,44.0,0
6.78,55.0,0
7.68,44.0,0
6.78,62.0,0
7.67,26.0,0
6.25,49.0,0
6.9,44.0,0
7.46,52.0,0
7.4,13.0,1
6.46,45.0,0
6.24,54.0,1
6.98,76.0,0
6.7,64.0,0
7.76,10.0,0
7.37,48.0,1
5.74,76.0,0
6.12,6.0,1
7.16,10.0,0
5.66,57.0,1
7.17,11.0,1
7.19,10.0,1
8.11,50.0,1
7.82,28.0,1
6.94,57.0,0
7.73,50.0,1
6.0,65.0,0
7.38,21.0,0
6.47,16.0,0
6.8,16.0,1
7.64,21.0,1
6.23,56.0,1
7.0,9.0,0
7.13,4.0,1
8.03,39.0,0
6.96,46.0,0
6.45,15.0,1
5.23,17.0,1
8.49,40.0,1
6.62,55.0,0
7.68,22.0,1
6.43,44.0,1
7.09,87.0,0
6.99,62.0,1
7.42,57.0,1
6.29,58.0,1
6.24,24.0,1
7.07,21.0,0
6.73,9.0,1
8.38,87.0,0
7.46,14.0,1
5.82,41.0,0
6.97,11.0,1
6.12,17.0,0
6.02,64.0,0
6.99,19.0,0
7.03,32.0,1
6.16,48.0,0
6.75,15.0,1
7.36,52.0,1
7.84,5.0,1
7.95,34.0,0
7.35,56.0,0
7.12,33.0,1
6.67,32.0,1
6.86,19.0,0
7.47,28.0,1
7.2,47.0,1
7.46,31.0,1
5.56,50.0,0
6.97,87.0,1
7.02,55.0,1
6.51,18.0,1
7.43,14.0,1
7.96,37.0,0
7.07,38.0,1
7.47,19.0,0
6.74,60.0,0
7.53,13.0,0
7.18,51.0,1
6.82,47.0,0
6.77,38.0,1
6.6,38.0,0
6.64,90.0,0
6.65,13.0,0
7.54,13.0,0
8.21,56.0,0
7.4,28.0,1
7.3,35.0,0
6.68,16.0,1
6.12,22.0,1
7.03,39.0,0
6.74,20.0,1
6.56,19.0,1
6.9,17.0,1
7.93,9.0,1
6.95,68.0,0
7.45,46.0,1
7.32,18.0,1
7.45,51.0,0
7.41,8.0,1
6.37,23.0,0
7.2,70.0,1
7.2,26.0,1
6.26,13.0,1
7.31,33.0,0
7.24,34.0,1
6.13,17.0,1
8.12,16.0,0
7.21,70.0,0
6.92,10.0,0
6.51,4.0,1
6.82,28.0,1
6.73,23.0,1
6.42,18.0,1
5.91,50.0,1
7.92,42.0,1
6.74,52.0,0
7.61,40.0,0
7.24,33.0,0
6.37,37.0,1
7.25,21.0,1
7.61,13.0,0
6.87,9.0,1
7.07,25.0,0
6.78,42.0,0
6.41,30.0,0
7.09,32.0,0
6.69,36.0,1
5.7,79.0,1
5.9,29.0,0
5.95,8.0,0
5.58,41.0,0
7.34,41.0,0
7.31,31.0,0
6.25,60.0,0
6.7,47.0,1
7.27,25.0,1
7.37,65.0,0
7.12,31.0,1
6.17,53.0,0
7.55,61.0,0
7.26,4.0,1
7.03,33.0,0
7.33,21.0,0
7.63,43.0,0
7.25,7.0,1
7.28,23.0,0
5.9,16.0,1
6.63,16.0,1
7.77,66.0,1
6.76,35.0,0
6.6,18.0,0
7.94,18.0,1
7.29,11.0,0
7.28,10.0,1
7.55,63.0,0
7.55,48.0,0
5.74,43.0,1
6.0,33.0,1
6.74,22.0,0
6.08,34.0,1
6.71,83.0,0
8.02,35.0,1
6.6,32.0,1
7.14,17.0,1
8.23,20.0,1
7.8,24.0,1
6.92,24.0,0
7.36,37.0,1
6.04,66.0,0
6.5,45.0,1
6.65,28.0,1
7.3,36.0,1
6.37,46.0,1
7.51,55.0,1
6.9,19.0,0
6.3,29.0,0
6.22,46.0,0
7.59,49.0,0
6.29,46.0,0
7.09,19.0,0
8.27,26.0,0
6.91,30.0,0
7.45,15.0,0
7.26,21.0,0
6.17,39.0,1
7.89,46.0,0
7.35,55.0,0
7.22,19.0,1
7.64,21.0,0
6.67,26.0,1
5.77,11.0,1
7.01,5.0,0
7.45,37.0,0
6.31,19.0,0
6.73,22.0,0
7.31,7.0,0
6.67,10.0,1
8.56,22.0,0
7.8,15.0,1
7.08,48.0,1
6.92,77.0,0
6.66,14.0,1
5.56,10.0,0
6.6,23.0,1
6.5,17.0,1
6.32,31.0,0
6.21,37.0,0
6.44,31.0,1
5.94,31.0,0
6.59,42.0,1
7.31,24.0,1
7.13,53.0,0
6.92,43.0,0
6.76,12.0,1
6.58,20.0,0
7.13,47.0,0
6.62,79.0,1
6.91,4.0,1
7.39,12.0,0
